N,error_L2_pressure_primal,error_L2_velocity_primal,error_Hdiv_velocity_primal,error_tangential_primal,error_normal_primal,error_L2_pressure_dual,error_L2_velocity_dual,error_H1_pressure_dual,error_Hcurl_velocity_dual,error_tangential_dual,error_normal_dual,error_L2_pressure_df,error_L2_velocity_df,rate_L2_pressure_primal,rate_L2_velocity_primal,rate_Hdiv_velocity_primal,rate_tangential_primal,rate_normal_primal,rate_L2_pressure_dual,rate_L2_velocity_dual,rate_H1_pressure_dual,rate_Hcurl_velocity_dual,rate_tangential_dual,rate_normal_dual,rate_L2_pressure_df,rate_L2_velocity_df
1,0.10435343381764771,0.12771482335847847,0.20229656369551138,0.22354361830065247,0.1408946853267083,0.05662352363027659,0.13230533363596958,0.26603054170052465,0.13230533363596958,0.3832867149812624,0.13081677307210007,0.060867479385964825,0.1377924624598431,---,---,---,---,---,---,---,---,---,---,---,---,---
2,0.052394022362545443,0.06305328711293497,0.10078194474899824,0.12467288025551768,0.03433530277217576,0.0255418676792466,0.08856914053572666,0.1770414423799416,0.08856914053572665,0.1396969295788818,0.12530075019837375,0.04776588566767663,0.10188593839170768,0.9940039450059062,1.0182824940735085,1.0052346130086582,0.842408686703985,2.036852602314821,1.1485375076063482,0.5789951979662513,0.5875047740610781,0.5789951979662513,1.4561236821899848,0.06215247988366235,0.34969100779031326,0.435542017491815
4,0.026241847668752143,0.03146113224592882,0.05039413756267851,0.06363591289552431,0.008544799179181923,0.007702604551487389,0.04843900957883137,0.09684533912489102,0.04843900957883136,0.04017595046105524,0.07308594047278805,0.025710626828092668,0.05677959613602007,0.9975329213747557,1.0030009910879216,0.9999093834139936,0.970234589186779,2.0065741944681577,1.729445757062674,0.8706347523120712,0.8703325870903735,0.8706347523120712,1.7978962519501502,0.777729245327766,0.8936158314125962,0.8435104616704101
8,0.013127057667070455,0.015723824157554293,0.025198772740890947,0.03197284578534542,0.0021352087222926354,0.002047938779762019,0.024833433397804656,0.04966778281175371,0.024833433397804656,0.010531068982420382,0.03812326119729429,0.01306203798584854,0.02926171047938682,0.9993257195666319,1.000618457399761,0.9999024406013755,0.992994020751091,2.0006694819308217,1.9111737712017653,0.9638856287860511,0.9633722721520166,0.9638856287860511,1.9316802666536397,0.9389223642089788,0.976984774791898,0.9563584834503249
16,0.00656431128536017,0.007861109215000007,0.012599649788589915,0.016005563562314484,0.0005340052473616545,0.0005203808391189479,0.012499191799311284,0.024998766935797872,0.012499191799311284,0.0026653498924213786,0.01927247540532853,0.006555992074086979,0.014748542588318972,0.9998280235958559,1.0001473365162017,0.999969837572495,0.9982736831609227,1.9994512803627327,1.976532841807849,0.9904489251959765,0.9904534100627771,0.9904489251959765,1.9822550485842125,0.9841296507904982,0.9944939934877874,0.9884417057566264
