N,error_L2_pressure_primal,error_L2_velocity_primal,error_Hdiv_velocity_primal,error_tangential_primal,error_normal_primal,error_L2_pressure_dual,error_L2_velocity_dual,error_H1_pressure_dual,error_Hcurl_velocity_dual,error_tangential_dual,error_normal_dual,error_L2_pressure_df,error_L2_velocity_df,rate_L2_pressure_primal,rate_L2_velocity_primal,rate_Hdiv_velocity_primal,rate_tangential_primal,rate_normal_primal,rate_L2_pressure_dual,rate_L2_velocity_dual,rate_H1_pressure_dual,rate_Hcurl_velocity_dual,rate_tangential_dual,rate_normal_dual,rate_L2_pressure_df,rate_L2_velocity_df
1,0.015946869708813545,0.008294481996377475,0.020327195710260166,0.01486111481253895,0.011290196041306884,0.002271362320558384,0.010062605182859471,0.02607526214759741,0.010062605182859471,0.014855185266864943,0.02041705230951266,0.015439704355800415,0.012660197513511332,---,---,---,---,---,---,---,---,---,---,---,---,---
2,0.003925170958471763,0.0021973998406206604,0.0050638745243727235,0.00426155852855545,0.0010744286711197322,0.0004617460372329527,0.0034503931415493347,0.00892178084656427,0.0034503931415493347,0.002656586755199932,0.008123827368084107,0.0038807776108120964,0.004045992412008817,2.022445861717979,1.9163544778059283,2.005097635878692,1.802089292711857,3.3934289232644304,2.2983863735984684,1.5441712049627183,1.5472781414590973,1.5441712049627183,2.4833208656307644,1.329543105969309,1.9922274611935604,1.6457343932966184
4,0.0009801928499744003,0.0005573671165092315,0.0012680551732618917,0.00109326580724223,0.00012076371904928681,6.260916790108157e-05,0.0009556756667342026,0.0024684586725830134,0.0009556756667342026,0.0003703700354925066,0.002309017693808501,0.0009751650853816632,0.0011019609224371147,2.001617962945021,1.9790976134996505,1.9976241385621156,1.962736938346155,3.153310711581822,2.882653747346449,1.8521677630097493,1.8537212189788246,1.8521677630097493,2.842534538872904,1.8148803541811915,1.9926273833698591,1.8764205500253999
8,0.00024501570982224906,0.00013996909284104024,0.0003172382485928487,0.00027429239756019915,1.455256655345923e-05,8.175545430555847e-06,0.0002489136819149178,0.000642747908964886,0.0002489136819149181,4.940775029802592e-05,0.000605889355390814,0.0002445995220595991,0.000285256412703693,2.0001913686795003,1.993519594140965,1.998978890069898,1.994857666798108,3.052841571390543,2.9369870392326565,1.940875552975676,1.941285574702368,1.9408755529756743,2.90615811155976,1.9301529635930237,1.9952248880305614,1.9497418397128232
