N,error_L2_electric_primal,error_L2_magnetic_primal,error_Hdiv_electric_primal,error_Hcurl_magnetic_primal,error_tangential_primal,error_normal_primal,error_L2_electric_dual,error_L2_magnetic_dual,error_Hcurl_electric_dual,error_Hdiv_magnetic_dual,error_tangential_dual,error_normal_dual,error_L2_electric_df,error_L2_magnetic_df,rate_L2_electric_primal,rate_L2_magnetic_primal,rate_Hdiv_electric_primal,rate_Hcurl_magnetic_primal,rate_tangential_primal,rate_normal_primal,rate_L2_electric_dual,rate_L2_magnetic_dual,rate_Hcurl_electric_dual,rate_Hdiv_magnetic_dual,rate_tangential_dual,rate_normal_dual,rate_L2_electric_df,rate_L2_magnetic_df
1,0.16954245495985443,0.19079147500196036,0.27315872707649125,0.3295076886760957,0.7563530524394153,0.18379713251009006,0.11352725272035032,0.19603577607774542,0.4085653885565098,0.19603577607774544,0.42106031792078713,0.4642643978345365,0.13475200889372863,0.24243677242354053,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2,0.08511958608569906,0.09963484309234917,0.2685017076180215,0.16931999394652406,0.3903873791571364,0.06685318315909768,0.06481184266199493,0.10770990967073564,0.2251941072231966,0.10770990967073564,0.22627927441263176,0.2615601112696386,0.08287777690759475,0.1421651528611035,0.9940835419313223,0.9372744523742478,0.02480825256108532,0.9605597870354294,0.9541534038671728,1.4590460989616494,0.8087093074953788,0.863965978149877,0.8593979158240481,0.863965978149877,0.8959224677363731,0.8278041097907527,0.7012495707798547,0.7700406623216409
4,0.0425900485837574,0.0508858182485864,0.2660764581857614,0.08601478614686535,0.19734008254709728,0.029395811244526077,0.033153786968507175,0.05468005957268429,0.11436431064532665,0.05468005957268429,0.11458901803043146,0.12985604286758565,0.042873030315919804,0.07408544790537555,0.9989747597921421,0.9693867156059657,0.013090393726747696,0.977095753226195,0.9842223952477529,1.1853856617777119,0.9670837812255639,0.9780642689003596,0.9775321716329501,0.9780642689003596,0.9816356640812613,1.0102293905536663,0.9509149129272876,0.9403057819587457
8,0.021299741311749148,0.02564497782309194,0.2653944282687422,0.04323503787113629,0.09892237521334919,0.014151445883095208,0.016690756678695167,0.02737880878827753,0.057271234391303626,0.02737880878827753,0.05753058886628277,0.06395422721962273,0.021632969943973648,0.037437230974630864,0.9996804667847679,0.9885873130654756,0.0037027869041859063,0.9923837308412735,0.9963152318498034,1.054661129123767,0.9901243095556733,0.9979551363074766,0.9977543005612208,0.9979551363074766,0.9940676434581017,1.0218015255555124,0.986838648731247,0.9847164610241697
16,0.010650304075891867,0.012854545655676789,0.265219100091761,0.02165155750461556,0.04948291993256136,0.006995699971432528,0.008361627476152605,0.013679575083813223,0.02861363961810412,0.013679575083813223,0.02879556901957939,0.03165953815384087,0.010842648785581586,0.01876205411581497,0.9999412875323763,0.9963977047511658,0.0009534061502203262,0.9977301440689814,0.999366245851971,1.016409141769933,0.9971936854828494,1.0010362606236844,1.0011076805345978,1.0010362606236844,0.9984824063738227,1.0143995111703945,0.996514503035395,0.9966559443765783
