N,error_L2_electric_primal,error_L2_magnetic_primal,error_Hdiv_electric_primal,error_Hcurl_magnetic_primal,error_tangential_primal,error_normal_primal,error_L2_electric_dual,error_L2_magnetic_dual,error_Hcurl_electric_dual,error_Hdiv_magnetic_dual,error_tangential_dual,error_normal_dual,error_L2_electric_df,error_L2_magnetic_df,rate_L2_electric_primal,rate_L2_magnetic_primal,rate_Hdiv_electric_primal,rate_Hcurl_magnetic_primal,rate_tangential_primal,rate_normal_primal,rate_L2_electric_dual,rate_L2_magnetic_dual,rate_Hcurl_electric_dual,rate_Hdiv_magnetic_dual,rate_tangential_dual,rate_normal_dual,rate_L2_electric_df,rate_L2_magnetic_df
1,0.015117565302338676,0.01892899435222271,0.10511731215824692,0.030220996233730233,0.06893516475375285,0.034137671391397666,0.016454404759119762,0.024720218347921326,0.06604588017111142,0.02472021834792132,0.07216226158187791,0.067076049469114,0.018456993174087957,0.029131211959969965,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2,0.00445018790271751,0.004907746394988269,0.05384821544991482,0.008253960987956563,0.017533327485165347,0.006236164412221967,0.004306044747729801,0.006434768086852196,0.017357404041283084,0.006434768086852196,0.016722997273818475,0.017364554302875975,0.005180888312435225,0.007883956475473238,1.7642876527370506,1.9474651608859288,0.9650298524221692,1.872392695032742,1.975140291232167,2.45263378287457,1.9340386207163638,1.9417314274415451,1.9279173757713797,1.9417314274415451,2.1094111079197884,1.9496523405602266,1.8328961549190508,1.8855740069613116
4,0.0011453156104880937,0.001250162981126309,0.02702163910730048,0.0021094761922826537,0.004415569305996787,0.0012867340029097275,0.001113356934048769,0.0016444587163397333,0.004460275623596122,0.0016444587163397333,0.004077983366642659,0.004394994545210703,0.0013522553054439092,0.0020450332417358994,1.9581210416934978,1.9729445122033473,0.9947833442593446,1.9682018142386362,1.9894284537698832,2.2769451176000377,1.951447127579244,1.9682753635467298,1.960346426029247,1.9682753635467298,2.035905649789746,1.9822121015489103,1.9378319250895046,1.9467955176275051
8,0.00028825344546173356,0.0003150374495069813,0.013521504329364923,0.0005310205326823047,0.0011065811890266456,0.00029766398784920927,0.00028384480838983283,0.0004154138809503535,0.001130006500872048,0.00041541388095035363,0.0010132355617007113,0.001104711846213899,0.0003441920431909271,0.0005192052585587821,1.9903354539053844,1.988520946592777,0.9988595228581865,1.9900452541517488,1.9964901542406537,2.111957250299051,1.9717419246364152,1.9849914607937809,1.9808017921015288,1.9849914607937809,2.008886273309428,1.9921912696523147,1.9740819061927954,1.977747393896152
