N,error_L2_electric_primal,error_L2_magnetic_primal,error_Hdiv_electric_primal,error_Hcurl_magnetic_primal,error_tangential_primal,error_normal_primal,error_L2_electric_dual,error_L2_magnetic_dual,error_Hcurl_electric_dual,error_Hdiv_magnetic_dual,error_tangential_dual,error_normal_dual,error_L2_electric_df,error_L2_magnetic_df,rate_L2_electric_primal,rate_L2_magnetic_primal,rate_Hdiv_electric_primal,rate_Hcurl_magnetic_primal,rate_tangential_primal,rate_normal_primal,rate_L2_electric_dual,rate_L2_magnetic_dual,rate_Hcurl_electric_dual,rate_Hdiv_magnetic_dual,rate_tangential_dual,rate_normal_dual,rate_L2_electric_df,rate_L2_magnetic_df
1,0.009396233243083849,0.003201840088105007,0.059090370347461216,0.016356947126478436,0.015053783750195912,0.013657495294815102,0.004084325223103404,0.004097692675753859,0.009246688978194499,0.004097692675753858,0.016751734982331214,0.016063578804609395,0.00782356428910536,0.004549351919017307,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2,0.0011528944150352909,0.0004282110638133137,0.014193829420199791,0.0020401841982200892,0.002045470199973704,0.0018137793665195293,0.0005427716000137823,0.0007110110182825129,0.001536170466940147,0.0007110110182825132,0.002072013535225068,0.0023575760537288054,0.0010064525224776817,0.0008157462564062857,3.0268221324668882,2.902507279408285,2.0576591675812503,3.0031321906177277,2.8796217280343193,2.9126220480436116,2.911680608202425,2.5268679651728876,2.5895985439107703,2.5268679651728876,3.0152051912450233,2.7684171296020477,2.9585469083653946,2.4794686731776343
4,0.00014377457287064133,5.474214399647566e-05,0.0035267010806779154,0.00025534982227571603,0.00026079795769540806,0.00023302624647452165,6.93755220105921e-05,9.349597188245305e-05,0.0002012338538881578,9.349597188245694e-05,0.00026154926675506885,0.0003062159477532037,0.00012690688464529144,0.00010799855353810021,3.0033799365568985,2.96759822692362,2.008872668608605,2.998152451890059,2.9714280420533115,2.960434608456513,2.9678466081953854,2.9268958015957267,2.9323933814973326,2.926895801595668,2.9858787967338003,2.944682986378071,2.9874368753983447,2.91710847156199
